Qualis	Ano da Produção	Autor01	Autor01-Cat	Autor02	Autor02-Cat	Autor03	Autor03-Cat	Autor04	Autor04-Cat	Autor05	Autor05-Cat	Autor06	Autor06-Cat	Autor07	Autor07-Cat	Autor08	Autor08-Cat	Autor09	Autor09-Cat	Autor10	Autor10-Cat	Autor11	Autor11-Cat	Autor12	Autor12-Cat	Autor13	Autor13-Cat	Autor14	Autor14-Cat	Autor15	Autor15-Cat	Autor16	Autor16-Cat	Autor17	Autor17-Cat	Autor18	Autor18-Cat	Autor19	Autor19-Cat	Autor20	Autor20-Cat	Autor21	Autor21-Cat	Autor22	Autor22-Cat	Autor23	Autor23-Cat	Autor24	Autor24-Cat	Autor25	Autor25-Cat	Autor26	Autor26-Cat	Autor27	Autor27-Cat	Autor28	Autor28-Cat	Autor29	Autor29-Cat	Autor30	Autor30-Cat	Autor31	Autor31-Cat	Autor32	Autor32-Cat	Autor33	Autor33-Cat	Autor34	Autor34-Cat	Autor35	Autor35-Cat	Autor36	Autor36-Cat	Autor37	Autor37-Cat	Autor38	Autor38-Cat	Autor39	Autor39-Cat	Autor40	Autor40-Cat	Autor41	Autor41-Cat	Autor42	Autor42-Cat	Autor43	Autor43-Cat	Autor44	Autor44-Cat	Autor45	Autor45-Cat	Autor46	Autor46-Cat	Cidade	Cidade do evento	DOI	Divulgação	Edição / Número	Fascículo	IES Nome	IES Sigla	ISBN/ISSN	ISSN / Título do periódico	Idioma	Linha de Pesquisa	Natureza	Nome da editora	Nome do PPG	Nome do evento	Número da página final	Número da página inicial	Número do DOI	Observação	País	Produção Glosada?	Programa	Projeto de Pesquisa	Subtipo da Produção	Série	Tipo da Produção	Título da Produção	Título dos Anais	URL	URL do DOI	Volume	Área de Avaliação	Área de Concentração
C	2017.0	PRISCILLA MARIA CARDOSO GARONE	Discente - Doutorado	SERGIO NESTERIUK GALLO	Docente																																																																																									Rio de Janeiro		-	MEIO DIGITAL		-	UNIVERSIDADE ANHEMBI MORUMBI	UAM		0102-5503 / (0102-5503) TECNOLOGIA EDUCACIONAL	Português	DESIGN: MEIOS INTERATIVOS E EMERGENTES	Completo	-	DESIGN		60	51		https://ldi.eadufes.org/arquivos/artigoLDI_design-e-educacao-a-distancia-experiencia-digital-para-uma-disciplina-da-botanica.pdf		Não	33106010002P5	DESIGN, GAMES E ANIMAÇÃO: INTERFACES E TECNOLOGIAS	ARTIGO EM PERIÓDICO	216	BIBLIOGRÁFICA	DESIGN E EDUCAÇÃO A DISTÂNCIA: EXPERIÊNCIA DIGITAL PARA UMA DISCIPLINA DA BOTÂNICA		[http://abt-br.org.br/revista/]		1	ARQUITETURA, URBANISMO E DESIGN	DESIGN, ARTE E TECNOLOGIA
C	2017.0	VIVIAN SUAREZ MARTINS	Discente - Doutorado	GISELA BELLUZZO DE CAMPOS	Docente																																																																																									Campo Grande		10.20435/1984-042X-2016-v.17-n.4(07)	MEIO DIGITAL		-	UNIVERSIDADE ANHEMBI MORUMBI	UAM		1984-042X / (1984-042X) INTERAÇÕES (CAMPO GRANDE)	Português	DESIGN: MEIOS INTERATIVOS E EMERGENTES	Completo	-	DESIGN		643	635		-		Não	33106010002P5	DESIGN E LINGUAGEM GRÁFICA - CONCEITUAÇÕES E VISÕES DA PRÁTICA	ARTIGO EM PERIÓDICO	4	BIBLIOGRÁFICA	DESIGN GRÁFICO E ARTE URBANA COMO FERRAMENTAS PARA O DESENVOLVIMENTO SOCIAL		[http://www.interacoes.ucdb.br/article/view/731]		17	ARQUITETURA, URBANISMO E DESIGN	DESIGN, ARTE E TECNOLOGIA
A4	2017.0	NIVIA BARBOZA FERREIRA	Discente - Mestrado	PRISCILA AZZOLINI TROVO	Discente - Mestrado	SERGIO NESTERIUK GALLO	Docente																																																																																							Cham		https://doi.org/10.1007/978-3-319-58697-7_45	MEIO DIGITAL		-	UNIVERSIDADE ANHEMBI MORUMBI	UAM		0302-9743 / (0302-9743) LECTURE NOTES IN COMPUTER SCIENCE	Português	DESIGN: MEIOS INTERATIVOS E EMERGENTES	Completo	Springer, Cham	DESIGN		611	597		-		Não	33106010002P5	DESIGN, GAMES E ANIMAÇÃO: INTERFACES E TECNOLOGIAS	ARTIGO EM PERIÓDICO	10291	BIBLIOGRÁFICA	EMERGENCE IN GAME DESIGN: THEORETICAL ASPECTS AND PROJECT´S POTENTIALITIES		https://link.springer.com/chapter/10.1007/978-3-319-58697-7_45		1	ARQUITETURA, URBANISMO E DESIGN	DESIGN, ARTE E TECNOLOGIA
A3	2017.0	ANNA MAE TAVARES BASTOS BARBOSA	Docente																																																																																											Valencia		https://doi.org/10.7203/eari.8.10073	IMPRESSO		-	UNIVERSIDADE ANHEMBI MORUMBI	UAM		1695-8403 / (1695-8403) EDUCACIÓN ARTÍSTICA. REVISTA DE INVESTIGACIÓN	Espanhol	TEORIA, HISTÓRIA E CRÍTICA DO DESIGN	Completo	"Editor: Institut Universitari de Creativitat i Innovacions Educatives

Universitat de València"	DESIGN		232	230		-		Não	33106010002P5	O ENSINO DA ARTE NO BRASIL DE 1948 A 1996: MODERNISMO INSTITUCIONAL E PÓS-MODERNISMO	ARTIGO EM PERIÓDICO	2017	BIBLIOGRÁFICA	EN MIS PRIMEROS AÑOS DE VIDA, CÓMO ERA LA IMAGEN EN LA ENSEÑANZA DEL ARTE		https://ojs.uv.es/index.php/eari/article/view/10073		8	ARQUITETURA, URBANISMO E DESIGN	DESIGN, ARTE E TECNOLOGIA
B3	2017.0	MARCELO FALCO DE DEUS	Participante Externo	CARLOS AUGUSTO GOTTSFRITZ FERNANDES	Participante Externo																																																																																									Los Angeles		-	MEIO DIGITAL		-	UNIVERSIDADE ANHEMBI MORUMBI	UAM		2194-5357 / (2194-5357) ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING	Inglês	DESIGN: MEIOS INTERATIVOS E EMERGENTES	Completo	Springer International Publishing	DESIGN		689	683		"Authors: Marly de Menezes, Ricardo Bontempo, Marcelo Falco, Augusto Gottsfritz

Published in: Advances in Ergonomics in Design "		Não	33106010002P5	A RELAÇÃO DESIGN-NEUROCIÊNCIA NO DESIGN DE BIO-INTERFACES VESTÍVEIS PARA INTERAÇÃO COM SISTEMAS DIGITAIS	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	ERGONOMIC EVALUATION OF HUMAN-COMPUTER INTERFACES THROUGH THE ERGONOMIC ASPECTS OF SCARPIN AND BASTIEN		https://www.springerprofessional.de/en/ergonomic-evaluation-of-human-computer-interfaces-through-the-er/12466256		1	ARQUITETURA, URBANISMO E DESIGN	DESIGN, ARTE E TECNOLOGIA
C	2017.0	PRISCILA ALMEIDA CUNHA ARANTES	Docente																																																																																											São Paulo		-	MEIO DIGITAL		-	UNIVERSIDADE ANHEMBI MORUMBI	UAM		2115-6395 / (2115-6395) ARTELOGIE (ONLINE)	Português	TEORIA, HISTÓRIA E CRÍTICA DO DESIGN	Completo	-	DESIGN		5	1		Artelogie – Reserche sur les arts, le patrimonie et la littérature de l’Amérique latine		Não	33106010002P5	ARQUIVO VIVO: O CORPO COMO ARQUIVO E O ARQUIVO DO CORPO	ARTIGO EM PERIÓDICO	11	BIBLIOGRÁFICA	ESTÉTICA DE LA EMERGENCIA: LA FORMACIÓN DE OTRA CULTURA DE LAS ARTES		https://journals.openedition.org/artelogie/1612		11	ARQUITETURA, URBANISMO E DESIGN	DESIGN, ARTE E TECNOLOGIA
C	2017.0	GILBERTO DOS SANTOS PRADO	Docente																																																																																											València		[doi:10.4995/aniav.2017.7820]	MEIO DIGITAL		-	UNIVERSIDADE ANHEMBI MORUMBI	UAM		2530-9986 / (2530-9986) ANIAV - REVISTA DE INVESTIGACIÓN EN ARTES VISUALES	Português	DESIGN: MEIOS INTERATIVOS E EMERGENTES	Completo	Universitat Politècnica de València	DESIGN		58	47		-		Não	33106010002P5	ARTE E DESIGN, INTERFACES E DISPOSITIVOS EXPERIMENTAIS	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	GRUPO POÉTICAS DIGITAIS: DIALOGO Y MEDIO AMBIENTE		https://polipapers.upv.es/index.php/aniav/article/view/7820/8001		1	ARQUITETURA, URBANISMO E DESIGN	DESIGN, ARTE E TECNOLOGIA
C	2017.0	LUISA ANGELICA PARAGUAI DONATI	Docente																																																																																											-		-	MEIO DIGITAL		-	UNIVERSIDADE ANHEMBI MORUMBI	UAM		2182-8547 / (2182-8547) REVISTA CROMA	Português	DESIGN: MEIOS INTERATIVOS E EMERGENTES	Completo	Faculdade de Belas-Artes da Universidade de Lisboa & Centro de Investigação e de Estudos em Belas-Artes	DESIGN		75	68		Revista internacional com comissão científica e revisão por pares (sistema double blind review)		Não	33106010002P5	ENTRE OBJETOS, TEMPOS E LUGARES: NARRATIVAS FLUTUANTES	ARTIGO EM PERIÓDICO	10	BIBLIOGRÁFICA	IMAGEM-DIAGRAMA: FORMULAÇÕES DA FORMA VIDEOGRÁFICA EM MARIA LUCIA CATTANI		http://croma.fba.ul.pt/C_v5_iss10.pdf		5	ARQUITETURA, URBANISMO E DESIGN	DESIGN, ARTE E TECNOLOGIA
NA	2017.0	RICARDO JOSE BARBOSA OLIMPIO	Discente - Mestrado	GISELA BELLUZZO DE CAMPOS	Docente																																																																																									-		-	MEIO DIGITAL		-	UNIVERSIDADE ANHEMBI MORUMBI	UAM		1414-3895 / (1414-3895) EDUCAÇÃO GRÁFICA (UNESP. BAURU)	Português	DESIGN: MEIOS INTERATIVOS E EMERGENTES	Completo	"Departamento de Artes e Representação Gráfica da Faculdade de Arquitetura, Artes e

Comunicação da UNESP, Campus Bauru"	DESIGN		286	267		-		Não	33106010002P5	DESIGN E LINGUAGEM GRÁFICA - CONCEITUAÇÕES E VISÕES DA PRÁTICA	ARTIGO EM PERIÓDICO	03	BIBLIOGRÁFICA	IMAGENS GRÁFICAS DIGITAIS EM REMIX: DESIGN, LINGUAGEM E COMUNICAÇÃO		http://www.educacaografica.inf.br/revistas/vol-21-numero-03-2017		21	ARQUITETURA, URBANISMO E DESIGN	DESIGN, ARTE E TECNOLOGIA
A4	2017.0	PRISCILA AZZOLINI TROVO	Discente - Mestrado	ADRIANA VALLI	Discente - Doutorado	NIVIA BARBOZA FERREIRA	Discente - Mestrado	AGDA REGINA DE CARVALHO	Docente																																																																																					Cham		https://doi.org/10.1007/978-3-319-58697-7_41	MEIO DIGITAL		-	UNIVERSIDADE ANHEMBI MORUMBI	UAM		0302-9743 / (0302-9743) LECTURE NOTES IN COMPUTER SCIENCE	Inglês	TEORIA, HISTÓRIA E CRÍTICA DO DESIGN	Completo	Springer, Cham	DESIGN		560	547		-		Não	33106010002P5	DESIGN E CORPO: NARRATIVAS E SUBJETIVIDADES	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	INTERACTION/COGNITION IN DESIGN: THE RED BULL STATION?S CLASSROOM CASE STUDY		https://link.springer.com/chapter/10.1007/978-3-319-58697-7_41		10291	ARQUITETURA, URBANISMO E DESIGN	DESIGN, ARTE E TECNOLOGIA
